Name,Date,Open,High,Low,Close,Period,,
Gram18Ayar,4/16/2013,1246600,1251200,1230400,1246600,D,92/1/27,
Gram18Ayar,4/17/2013,1244300,1248900,1237400,1246600,D,,
Gram18Ayar,4/20/2013,1253500,1261600,1250100,1253500,D,,
Gram18Ayar,4/21/2013,1254700,1272000,1254200,1272000,D,92/2/1,
Gram18Ayar,4/22/2013,1278900,1306600,1275500,1289300,D,,
Gram18Ayar,4/23/2013,1299700,1299700,1280100,1285800,D,,
Gram18Ayar,4/24/2013,1296200,1304300,1292800,1302000,D,,
Gram18Ayar,4/27/2013,1302000,1306600,1292800,1297400,D,,
Gram18Ayar,4/28/2013,1292800,1305500,1288100,1302000,D,,
Gram18Ayar,4/29/2013,1306600,1310100,1303800,1305500,D,,
Gram18Ayar,4/30/2013,1300800,1304300,1297400,1299000,D,,
Gram18Ayar,5/1/2013,1298500,1299700,2384700,1284700,D,,
Gram18Ayar,5/4/2013,1284700,1284700,1280800,1281900,D,,
Gram18Ayar,5/5/2013,1285800,1299200,1285800,1297400,D,,
Gram18Ayar,5/6/2013,1298500,1298500,1283500,1285400,D,,
Gram18Ayar,5/7/2013,1277800,1280100,1272000,1274300,D,,
Gram18Ayar,5/8/2013,1275500,1275500,1262800,1268500,D,,
Gram18Ayar,5/11/2013,1254700,1255800,1218900,1218900,D,,
Gram18Ayar,5/12/2013,1225800,1239700,1225800,1237400,D,,
Gram18Ayar,5/13/2013,1225800,1232700,1225800,1228100,D,,
Gram18Ayar,5/14/2013,1237400,1238500,1227000,1230000,D,,
Gram18Ayar,5/15/2013,1217700,1218900,1213100,1213100,D,,
Gram18Ayar,5/18/2013,1186600,1186600,1165800,1167000,D,,
Gram18Ayar,5/19/2013,1148500,1148500,1117300,1123100,D,,
Gram18Ayar,5/20/2013,1103500,1135800,1095400,1134600,D,,
Gram18Ayar,5/21/2013,1149600,1180800,1149600,1169300,D,,
Gram18Ayar,5/22/2013,1195800,1232700,1193500,1229300,D,92/4/1,
Gram18Ayar,5/25/2013,1225800,1245400,1221200,1244300,D,,
Gram18Ayar,5/26/2013,1246600,1269700,1239700,1246600,D,,
Gram18Ayar,5/27/2013,1251200,1259300,1244300,1246600,D,,
Gram18Ayar,5/28/2013,1265100,1265100,1243800,1250100,D,,
Gram18Ayar,5/29/2013,1254700,1254700,1244300,1245400,D,,
Gram18Ayar,6/1/2013,1242000,1247700,1242000,1242000,D,,
Gram18Ayar,6/2/2013,1243100,1245400,1230400,1230400,D,,
Gram18Ayar,6/3/2013,1233900,1240800,1232100,1240800,D,,
Gram18Ayar,6/8/2013,1239700,1243100,1236700,1237400,D,,
Gram18Ayar,6/9/2013,1236200,1236200,1227000,1227000,D,,
Gram18Ayar,6/10/2013,1220000,1220000,1210800,1210800,D,,
Gram18Ayar,6/11/2013,1202700,1205000,1188400,1201600,D,,
Gram18Ayar,6/12/2013,1200400,1228100,1200400,1222400,D,,
Gram18Ayar,6/15/2013,1195800,1198100,1154300,1163500,D,,
Gram18Ayar,6/16/2013,1184300,1199300,1184300,1193500,D,,
Gram18Ayar,6/17/2013,1176200,1191200,1165800,1183100,D,,
Gram18Ayar,6/18/2013,1190000,1190000,1167000,1167000,D,,
Gram18Ayar,6/19/2013,1156600,1160000,1139900,1145000,D,,
Gram18Ayar,6/22/2013,1080400,1080400,1004200,1004200,D,92/4/1,
Gram18Ayar,6/23/2013,997280,1028400,954570,1015700,D,,
Gram18Ayar,6/25/2013,997280,1029600,978810,1013400,D,,
Gram18Ayar,6/26/2013,1000700,1014600,990350,1007700,D,,
Gram18Ayar,6/29/2013,1034200,1036500,1011100,1015700,D,,
Gram18Ayar,6/30/2013,1025000,1033100,1019200,1027300,D,,
Gram18Ayar,7/1/2013,1051500,1056100,1045800,1050400,D,,
Gram18Ayar,7/2/2013,1059600,1072300,1058500,1061900,D,,
Gram18Ayar,7/3/2013,1059600,1059600,1036500,1049200,D,,
Gram18Ayar,7/6/2013,1015700,1020400,1006500,1006500,D,,
Gram18Ayar,7/7/2013,1004200,1015700,997740,1015700,D,,
Gram18Ayar,7/8/2013,1020400,1021500,1011100,1011100,D,,
Gram18Ayar,7/9/2013,1020400,1022700,1010000,1012300,D,,
Gram18Ayar,7/10/2013,1011100,1014600,1010000,1012300,D,,
Gram18Ayar,7/13/2013,1029600,1029600,1022700,1028400,D,,
Gram18Ayar,7/14/2013,1021500,1030700,1020800,1030700,D,,
Gram18Ayar,7/15/2013,1031900,1031900,1026400,1028400,D,,
Gram18Ayar,7/16/2013,1026100,1030300,1026100,1028400,D,,
Gram18Ayar,7/17/2013,1023800,1026100,1014600,1015700,D,,
Gram18Ayar,7/21/2013,998270,992660,982270,992660,D,,
Gram18Ayar,7/23/2013,1008800,1014600,1003000,1005400,D,92/5/1,
Gram18Ayar,7/24/2013,1012300,1029600,1012300,1021500,D,,
Gram18Ayar,7/27/2013,1023800,1038800,1023800,1035400,D,,
Gram18Ayar,7/28/2013,1045800,1046900,1036500,1040000,D,,
Gram18Ayar,7/29/2013,1037700,1037700,1028400,1031900,D,,
Gram18Ayar,7/31/2013,1034200,1035400,1025000,1025000,D,,
Gram18Ayar,8/3/2013,1037700,1057300,1029600,1050400,D,,
Gram18Ayar,8/4/2013,1056100,1057300,1036500,1038800,D,,
Gram18Ayar,8/5/2013,1033100,1040000,1030700,1033500,D,,
Gram18Ayar,8/6/2013,1022700,1026100,1018500,1022700,D,,
Gram18Ayar,8/7/2013,1027300,1028400,1020400,1028400,D,,
Gram18Ayar,8/11/2013,1027300,1041100,1027300,1041100,D,,
Gram18Ayar,8/12/2013,1051500,1053800,1044600,1050400,D,,
Gram18Ayar,8/13/2013,1044600,1050400,1035400,1035400,D,,
Gram18Ayar,8/14/2013,1033100,1040000,1031900,1038800,D,,
Gram18Ayar,8/17/2013,1060800,1061900,1037700,1058000,D,,
Gram18Ayar,8/18/2013,1055000,1065400,1055000,1063100,D,,
Gram18Ayar,8/19/2013,1060800,1063100,1049400,1049400,D,,
Gram18Ayar,8/20/2013,1044600,1049400,1036500,1041100,D,,
